building,fmCode,contactName,phone,area,numberLayer,floor,roomNumber,detailAdress,province,city,postalCode,zone,latitude,longtude,priceSquare,workingTime,blance,developer,grade,created_at,updated_at
Schloss ทองหล่อ ,WTN-299,คุณยุ้ย,0-2392-3322,2.2,1,8,30,490 ซอยทองหล่อ 16 ถนนสุขุมวิท 55 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ,-,-,-,บางใหญ่,13.733842,100.584689,-,-,-,-,-,,
ไอ-เฮ้าส์ ลากูน่าการ์เด้น 4 (อาคาร F-G),HK-101,คุณบี,"0-2203-1373-4, 098-841-3304",1.2,2,8,540,37 และ 47 ซอยศูนยวิจัย ถนนพระราม 9 แขวงบางกะปิ เขตห้วยขวาง กรุงเทพฯ,-,-,-,วัฒนา,13.749878,100.57874,-,-,-,-,-,,
ไอ-เฮ้าส์ ลากูน่าการ์เด้น 5 (อาคาร E),HK-101,คุณบี,"0-2203-1373-4, 098-841-3304",1.2,1,8,270,35 ซอยศูนยวิจัย ถนนพระราม 9 แขวงบางกะปิ เขตห้วยขวาง กรุงเทพฯ,-,-,-,ห้วยขวาง,13.749878,100.57874,-,-,-,-,-,,
พิบูลย์คอนโดทาวน์,BS-30,ผจก.บัติ : 064 125 2054,"02 9117701, 02 9117767",4.1,5,9,1200,356 ซ.เขมาเนรมิตร ถ.ประชาราษฏร์ 1 แขวงบางซื่อ เขตบางซื่อ กรุงเทพฯ,-,-,-,ห้วยขวาง,13.81481,100.523215,-,-,-,-,-,,
กรรณิการ์คอร์ด (บจก.วิเศษธุรกิจ),BR-59,คุณนวล,086-392-2669,1.1,1,,27,128 ถนนศาลาแดง แขวงสีลม เขตบางรัก กรุงเทพฯ,-,-,-,บางซื่อ,13.72496,100.537333,-,-,-,-,-,,
ซิทรีน,KS-4,คุณอ้อย,0-2440-1476,3.2,1,8,55,399 ถนนกรุงธนบุรี แขวงคลองต้นไทร เขตคลองสาน กรุงเทพฯ,-,-,-,บางรัก,13.7213189,100.4932134,-,-,-,-,-,,
คิวเฮ้าส์ คอนโด สุขุมวิท 79,WTN-22,คุณพิทักษ์ (ผจก.),เบอร์โทร,2.2,1,27,448,2059 ถนนสุขุมวิท  แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร,-,-,-,คลองสาน,13.7074249,100.6002322,-,-,-,-,-,,
คาซ่า คอนโด รัชดา-ราชพฤกษ์,TB-2,,097 098 2022,3.2,1,28,627,88 ซอยเทอดไท 33 แขวงดาวคะนอง เขตธนบุรี กรุงเทพฯ,-,-,-,วัฒนา,13.7137291,100.476777,-,-,-,-,-,,
เลอพรีเมียร์ 2,WTN-225,ผจก.นิตยา,"0-2392-9500 , 085 0592622",2.2,1,21,83,40 สุขุมวิท 59 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ ,-,-,-,ธนบุรี,13.7252901,100.5821058,-,-,-,-,-,,
Ideo Mix พหลโยธิน,PYT-96,คุณฝ้าย  ธุรการ,061-997-0205,1.2,1,23,460,ถนนพหลโยธิน สามเสนใน พญาไท,-,-,-,วัฒนา,13.794591,100.550224,-,-,-,-,-,,
Plum condo bangyai เฟส 1,BBT-1,ผช.ผจก คุณอนันต์,"063-274-2128,  02-005-1442 นิติ",4.1,5,8,1125,8 ม.10 ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี,-,-,-,พญาไท,13.889623,100.405457,-,-,-,-,-,,
บางกอกน้อยริเวอร์ไซด์ 1,BKN-20,ผจก.เอก  086-595-4130 ,02 4358414,3.1,1,8,127,130 ซอยบางขุนนนท์ 16 แขวงบางขุนนนท์ เขตบางกอกน้อย กรุงเทพฯ 10700,-,-,-,บางบัวทอง,13.773357,100.470436,-,-,-,-,-,,
ศรีสวัสดิ์ คอนโดมิเนียม,PYT-98,เดือนฉาย, 063-6439349,1.2,1,9,172,ชั้น 1 อาคารชุดศรีสวัสดิ์คอนโดมิเนียม ซ.ศรีสวัสดิ์ ถ.ประดิพัทธ์ สามเสนใน พญาไท กรุงเทพ,-,-,-,บางกอกน้อย,13.793289,100.547979,-,-,-,-,-,,
เดอะไนน์ คอนโด 3,NGW-4,คุณบุญธรรม,098-671-0950,4.1,1,8,70,93 ถนนงามวงศ์วาน แขวงลาดยาว เขตจตุจักร กรุงเทพฯ,-,-,-,พญาไท,13.849235,100.558748,-,-,-,-,-,,
เอื้ออาทรกันตนา,BY-1, คุณนิวัฒน์ (ผจ),089 8893906,3.1,29,5,1305,34 ชั้น 1 หมู่ 1 ตำบลบางใหญ่ อำเภอบางใหญ่ จังหวัดนนทบุรี,-,-,-,จตุจักร,13.842785,100.39046,-,-,-,-,-,,
บางใหญ่สแควร์ บี 2,BY-2,คุณจิตติมา คุ้มภ้ย (ผจ),02 192 0313,4.1,1,7,140,138 ม.12 ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี,-,-,-,บางใหญ่,13.883144,100.410092,-,-,-,-,-,,
บ้านเอื้ออาทร ลำลูกกา คลอง 4,LLK-1,K.แหม่ม : 097 2041331,"ผจ.นุ 081 297 7026, 02-1596539",4.2,10,5,440,55/1001 หมู่ที่ 3 ตำบลลาดสวาย อำเภอลำลูกกา จังหวัดปทุมธานี 12150,-,-,-,บางบัวทอง,13.932021,100.686978,-,-,-,-,-,,
อำนวยรักษ์ คอนโดมิเนียม,BKL-12,"
คุณหน่อย/คุณก้อย"," 02-291-5791
FAX:02-291-5285",1.1,2,9,306,117/2 ซ.107 แยก 15/1-1 แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร,-,-,-,ลำลูกกา,13.6969357,100.5041031,-,-,-,-,-,,
บางกอกน้อยวอเตอร์ไซด์ 2,BKN-7, พี่ทิพ,086 0253615,3.1,1,8,127,128/1 ซอยบางขุนนนท์ 16 แขวงบางขุนนนท์ เขตบางบอกน้อย กรุงเทพมหานคร,-,-,-,บางคอแหลม,13.773357,100.470436,-,-,-,-,-,,
บ้านเอื้ออาทรบางบัวทอง 1,BBT-2,คุณบรรจง,089-762-4814,4.1,65,5,2925,321/70 อาคารเลขที่ 16 ชั้น 1 ถ.บางกรวย-ไทรน้อย ต.บางบัวทอง อ.บางบัวทอง จ.ปทุมธานี,-,-,-,บางกอกน้อย,13.924811,100.4179973,-,-,-,-,-,,
เลอพรีเมียร์ 1,WTN-224,คุณปลา,0-2258-4318,1.2,1,21,66,13 ซ.สุขุมวิท 23  ถนนสุขุมวิท เขตวัฒนา  กรุงเทพฯ,-,-,-,บางบัวทอง,13.7374705,100.5628736,-,-,-,-,-,,
ซิตี้โฮม รัชดา-ปิ่นเกล้า 2,BP-5,คุณจารุศักดิ์   นิติ,02-4329147,3.1,1,28,807,585 ถนนจรัญสนิทวงศ์   แขวง   บางอ้อ เขตบางพลัด  กรุงเทพ,-,-,-,วัฒนา,13.8040579,100.512043,-,-,-,-,-,,
Smart Condo,BK-28,ผจก. ใหม่ ชื่อ คุณจ๋า,"083-427-3076, 084 6796446",2.1,4,8,728,252 ถนน วัชรพล  แขวง ท่า แร้ง เขต บางเขน กรุงเทพ 10220,-,-,-,บางพลัด,13.8587225,100.6458035,-,-,-,-,-,,
เดอะคริส 5,HK-110,นิติ,065 5522838,1.2,1,8,193,334 ซ. รัชดา 17 ถ. รัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพฯ 10400,-,-,-,บางเขน,13.786694,100.572425,-,-,-,-,-,,
เดอะคริส 6,HK-110,คุณรัชสุดา,090 6466862,1.2,1,8,176,342 ซ. รัชดา 17 ถ. รัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพฯ 10400,-,-,-,ดินแดง,13.786646,100.572055,-,-,-,-,-,,
เดอะคริส 7,HK-110,คุณรัชสุดา,090 6466862,1.2,1,8,179,344 ซ. รัชดา 17 ถ. รัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพฯ 10400,-,-,-,ดินแดง,13.786607,100.571622,-,-,-,-,-,,
เซ็นทริค รัชดา ห้วยขวาง,HK-59,คุณยุ,02-117-2285,1.2,1,31,674,282 ถนนรัชดาภิเษก แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพ,-,-,-,ดินแดง,13.7804491,100.5739704,-,-,-,-,-,,
เดอะคริส 2,HK-107,"คุณไนซ์ / 062-6649615, 086-3999095",02-276-3555-6,1.2,1,8,99,326 ซอยอินทามระ 45 แขวงดินแดง เขตดินแดง กรุงเทพฯ 10400,-,-,-,ห้วยขวาง,13.787176,100.571204,-,-,-,-,-,,
แบงค์คอก เฟลิซ วิภาวดี 30   ,JJ-115,คุณต้น,092-798-3386,4.1,1,8,154, ซ.พหลโยธิน 21 ถ.พหลโยธิน แขวงจตุจักร เขตจตุจักร จ.กรุงเทพมหานคร 10900,-,-,-,ดินแดง,13.8232995,100.5629924,-,-,-,-,-,,
เอื้ออาทรนนทบุรี,NON-1,คุณประสาน,086 534 5968,4.2,31,5,1364,154/6 หมู่ที่ 5  ตำบลปากเกร็ด อำเภอปากเกร็ด จังหวัดนนทบุรี ,-,-,-,จตุจักร,13.913857,100.504734,-,-,-,-,-,,
เอื้ออาทรบางโฉลง 1 (ตึก 1-16),BP-2,คุณวิชัย,081 345 6334,2.2,16,5,720,119/41 หมู่ที่ 1 ตำบงบางโฉลง อำเเภอบางพลี จังหวัดสมุทรปราการ,-,-,-,ปากเกร็ด,13.601666,100.749479,-,-,-,-,-,,
เอส เค ทาวเวอร์,WTN-298,นิติ ฯ,02 712 4111,2.2,2,8,264,858 ถนนสุขุมวิท แขวงพระโขนง เขตคลองเตย กรุงเทพฯ 10110,-,-,-,บางพลี,13.722932,100.579871,-,-,-,-,-,,
บียอนด์ สุขุมวิท      ,BN-11,คุณเปรี้ยว,"098 9159455, 094 4304349",2.1,1,8,180,56   ถนนสรรพาวุธ 2 แขวงบางนา เขตบางนา กรุงเทพมหานคร  10260,-,-,-,คลองเตย,13.676697,100.603249,-,-,-,-,-,,
อ่อนนุช  เพลส         ,SL-39,คุณโย,084 3266105,2.1,1,8,197,1716  ซอยอ่อนนุช 46/2 ถนนอ่อนนุช แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250  ,-,-,-,บางนา,13.7104465,100.6368998,-,-,-,-,-,,
วิลมอร์ คอนโดมิเนียม       ,JJ-68,คุณรัน,086 3408551,4.1,1,8,79,118 ซอยพหลโยธิน 32 ถนนพหลโยธิน  แขวงจันทรเกษม  เขตจตุจักร กรุงเทพ 10900,-,-,-,สวนหลวง,13.833613,100.575413,-,-,-,-,-,,
Ideo ลาดพร้าว ซอย 5,JJ-130,,,4.1,1,24,418,ถนนลาดพร้าว จอมพล จตุจักร,-,-,-,จตุจักร,13.8105033,100.565807,-,-,-,-,-,,
เซนต์หลุยส์แกรนเทอเรส,ST-60,คุณ จำนง/คุณแพร,"086-335-8093
02-307-0102-3",1.1,1,28,245,15 ซ.สาทร 11(เซ็นต์หลุยส์ 3) ถ.สาทรใต้ แขวงยานนาวา เขตสาทร กรุงเทพ,-,-,-,จอมพล,13.719248,100.526808,-,-,-,-,-,,
ศุภาลัย โอเรียนทัล เพลส,ST-35,คุณกนกพร(กุ้ง) / 061-610-1061,ผจก. / 062-3980234,1.1,1,20,302,515 ซอยสวนพลู 8 ถ.สาทรใต้ แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพฯ,-,-,-,สาทร,13.719939,100.539921,-,-,-,-,-,,
ทองหล่อ ทาวเวอร์,WTN-55,คุณ ประกายพฤกษ์,061 645 2561,2.2,2,18,730,786 ถ.สุขุมวิท 55 ซอยทองหล่อ แขวงพระโขนง เขตพระโขนง กรุงเทพฯ,-,-,-,สาทร,13.73509,100.584585,-,-,-,-,-,,
บ้านกลางกรุง สยาม-ปทุมวัน,RTV-57,คุุณธนพันธ์ พงษ์โสภณ,"080-563-8096, 0-2656-5353 ต่อ 2004-5",1.2,1,27,580,468 ถนนเพชรบุรี แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400   ,-,-,-,พระโขนง,13.751842,100.532884,-,-,-,-,-,,
รัตนาธิเบศร์ แมนชั่น (บุญโต),BBT-3,คุณนที,02-965-5110,4.1,1,7,63,99/7 หมู่ 8 ซอยรัตนาธิเบศร์ 17 แยก 1 ถนนรัตนาธิเบศร์ ตำบลบางกระสอ อำเภอเมือง จังหวัดนนทบุรี ,-,-,-,ราชเทวี,13.861551,100.501163,-,-,-,-,-,,
เอกสินทาวเวอร์ อาคารบี และซี      ,NON-17,คุณพรทิพ,089 1823331,4.1,2,8,112,33/162 หมู่ที่ 2 ตำบลบางเขน อำเภอเมืองนนทบุรี จังหวัดนนทบุรี,-,-,-,เมืองนนทบุรี,13.863021,100.536121,-,-,-,-,-,,
เลทีเซีย,HK-79,คุณจุ๋ม,"02-106-3087, 084-5385780",2.1,2,7,129,312 ซอยพระราม 9 ซอย 17 ถนน พระราม 9 แขวงบางกะปิ  เขตห้วยขวาง กรุงเทพมหานคร,-,-,-,เมืองนนทบุรี,13.7629781,100.5888707,-,-,-,-,-,,
ไอ-เฮ้าส์ พระราม 9-เอกมัย,HK-100,K.ชอบ ไชยโพธิ์,"02 319 8282
083 689 0691",2.1,1,8,471,598 และ 602 ถนนพระราม 9 แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร,-,-,-,ห้วยขวาง,13.7518947,100.5907851,-,-,-,-,-,,
พลัม พหลโยธิน 89 เฟส 1,RAN-1,คุณหนิง คุณต้น (ผจก),"062-725-2020, 02 0469893",4.2,4,8,1088,1 ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี ,-,-,-,ห้วยขวาง,13.969478,100.617236,-,-,-,-,-,,
ทองประชา คอนโดทาวน์ 5                   ,LPU-35,คุณพัฒนศักดิ์,,4.1,1,5,259,33 ม 9 ลาดพร้าว 53 ซ.โชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพฯ        ,-,-,-,ธัญบุรี,13.805926,100.599899,-,-,-,-,-,,
เดอะ เมดิสัน,WTN-197,K.กานต์ พูนทาจักร์,086 387 3336,1.2,1,36,151,737  ถนนสุขุมวิท แขวงคลองตันเหนือ  เขตวัฒนา กรุงเทพมหานคร ,-,-,-,ลาดพร้าว,13.729565,100.571515,-,-,-,-,-,,
พลัส 38  คอนโดมิเนียม   ,KT-43,,"0-2382-3838 ต่อ 0,086-8892954",2.2,1,9,112,5 ถนนสุขุมวิท ซอยสุขุมวิท 38 แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร ,-,-,-,วัฒนา,13.7215344,100.5776487,-,-,-,-,-,,
เดอะบรีส คอนโดมิเนียม อาคาร ซี   (The Breeze ),NON-7,"K.แหม่ม(ผจ)081 532 0787, คุณดรีม 063 253 5524",K.Prapassorn 062-169-9264 ,4.1,1,8,77,1 ต.ตลาดขวัญ อ.เมือง จ.นนทบุรี,-,-,-,คลองเตย,13.856122,100.507987,-,-,-,-,-,,
เดอะบรีส คอนโดมิเนียม อาคาร เอ   (The Breeze),NON-7,"K.แหม่ม(ผจ)081 532 0787, คุณดรีม 063 253 5524",K.พราว 081 056 2591(กรรมการลูกบ้าน อ.เอ),4.1,1,8,77,5 ต.ตลาดขวัญ อ.เมือง จ.นนทบุรี,-,-,-,เมืองนนทบุรี,13.855905,100.50802,-,-,-,-,-,,
เดอะบรีส คอนโดมิเนียม อาคาร บี   (The Breeze),NON-7,คุณปู เลขาผู้จัดการ,0-2591-5886,4.1,1,8,77,3 ต.ตลาดขวัญ อ.เมือง จ.นนทบุรี,-,-,-,เมืองนนทบุรี,13.855757,100.507969,-,-,-,-,-,,
เดอะทรีโอ การ์เด้นท์,PV-25,ผจก.หญิง,081-466-4042  02-720-5700,2.2,1,23,340,4   ถนนศรีนครินทร์ ซอย 38 แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร,-,-,-,เมืองนนทบุรี,13.7002234,100.6452207,-,-,-,-,-,,
กรีนเพลสรอยัลปาร์ค      ,PV-2,,"086-307-6532, Fax : 02 7518512",2.1,3,8,867,41/11 ม.11   แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร  ,-,-,-,ประเวศ,13.6813539,100.6777961,-,-,-,-,-,,
"มหาทรัพย์คอนโดทาวน์ โครงการ 2 (ตึก 3,4,5)",BG-8,นิติ ฯ (ผจ.ณราฤทธิ์),02 946 8625,2.1,3,5,288,111/6 อาคาร 11 มหาทรัพย์คอนโดทาวน์ ถนนประเสริฐมนูกิจ 40 แขวงนวมินทร์  เขตบึงกุ่ม กรุงเทพ,-,-,-,ประเวศ,13.810585,100.643231,-,-,-,-,-,,
"มหาทรัพย์คอนโดทาวน์ โครงการ 5 (ตึก 10,11,12)",BG-8,นิติ ฯ (ผจ.ณราฤทธิ์),02 946 8625,2.1,3,5,288,111/6 อาคาร 11 มหาทรัพย์คอนโดทาวน์ ถนนประเสริฐมนูกิจ 40 แขวงนวมินทร์  เขตบึงกุ่ม กรุงเทพ,-,-,-,บึงกุ่ม,13.810585,100.643231,-,-,-,-,-,,
"มหาทรัพย์คอนโดทาวน์ โครงการ 6 (ตึก 13,14,15)",BG-8,นิติ ฯ (ผจ.ณราฤทธิ์),02 946 8625,2.1,3,5,288,111/6 อาคาร 11 มหาทรัพย์คอนโดทาวน์ ถนนประเสริฐมนูกิจ 40 แขวงนวมินทร์  เขตบึงกุ่ม กรุงเทพ,-,-,-,บึงกุ่ม,13.810585,100.643231,-,-,-,-,-,,
แบงค์คอก ฮอไรซอน รามคำแหง    ,BKP-61,,"02-1844924,082-0073698",2.1,1,38,592,788 ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ ,-,-,-,บึงกุ่ม,13.7628171,100.6488582,-,-,-,-,-,,
เดอะรูม สาทร,BR-42,"คุณศร
062 635 5162, 0-2116-3653","
คุณหัสธชัย (หัวหน้าช่าง)
093 579 6958
",1.1,1,25,219,78 ถ.ปั้น แขวงสีลม เขตบางรัก กรุงเทพฯ,-,-,-,บางกะปิ,13.722445,100.523548,-,-,-,-,-,,
บ้านเอื้ออาทร บางใหญ่ เฟส 2  (ตึก 45 - 73)   ,BY-15,คุณรุ้ง ,02-149-1828,4.1,29,5,1305,150/44 อาคารเลขที่ 50 ชั้น 1 หมู่ 6 ตำบลเสาธงหิน อำเภอบางใหญ่ จังหวัดนนทบุรี  ,-,-,-,บางรัก,13.874172,100.401454,-,-,-,-,-,,
เอ็มพญาไท,RTV-44,นิติฯ,096-158-8466,1.2,1,35,214,17 ถนนพญาไท แขวงถนพญาไท,-,-,-,บางใหญ่,13.7609474,100.5361446,-,-,-,-,-,,
เคหะชุมชนหลักสี่ 4 (อาคาร 4),LAK-16,คุณสมชาย,085 163 8189,4.2,1,5,240,เลขที่ 64 ถนนแจ้งวัฒนะ ซอย 5 แขวงทุ่งสองห้อง  เขตหลักสี่ กรุงเทพมหานคร,-,-,-,พญาไท,13.877033,100.573262,-,-,-,-,-,,
เดอะบูลเทอเรซคอนโดเทล (ตึก 4),LLK-2,คุณจอย,02-990-1500,4.2,1,13,253,806  หมู่ที่ 8 ซ.พหลโยธิน 72 ต.คูคต อ.ลำลูกกา จ.ปทุมธานี  ,-,-,-,หลักสี่,13.961958,100.627844,-,-,-,-,-,,
ชิดลม เพลส,PTW-9,คุณเมธี,094 6963594,1.2,1,20,31,"6/2 chidlom Alley, Kwaeng Lumphini, Khet Pathum Wan, Bangkok",-,-,-,ลำลูกกา,13.747022,100.544181,-,-,-,-,-,,
แกรนด์ พาร์ค ทาวน์ อาคาร B,WTL-45,คุณนุจรินทร์ ขุนทอง,"091 7432955 , 02 9344829",4.1,1,8,124,578/124 ซอยสหการประมูล ถนนประชาอุทิศ แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพฯ,-,-,-,ปทุมวัน,13.772251,100.596524,-,-,-,-,-,,
เดอะลิ้งค์ 1 ,KT-93,คุณเคน ,086-345-9542,2.2,1,8,206,204 ซอยเหลือสุข ถนนสุขุมวิท 50 แขวงพระโขนง เขตคลองเตย กรุงเทพฯ,-,-,-,วังทองหลาง,13.70686,100.59816,-,-,-,-,-,,
เดอะลิ้งค์ 2,KT-94,คุณเคน,02-742-8440,2.2,1,8,207,206 ซอยเหลือสุข ถนนสุขุมวิท 50 แขวงพระโขนง เขตคลองเตย กรุงเทพฯ,-,-,-,คลองเตย,13.706439,100.598274,-,-,-,-,-,,
พิณนภา อ่อนนุช,PV-13,คุุณอาร์ท,084-424-1078,2.2,1,8,79,36 ซ.สุภาพงษ์ 1 แยก 6 แขวงหนองบอน เขตประเวศ กรุงเทพฯ,-,-,-,คลองเตย,13.695932,100.640419,-,-,-,-,-,,
บ้านเจ้าพระยา,KS-21,คุณวัฒนิตย์ :02 8633170 -8,K.เนท : 083 6111366,3.2,1,31,478,208 ถนนสมเด็จเจ้าพระยา 17 เขตคลองสาน กรุงเทพ,-,-,-,ประเวศ,13.732438,100.509571,-,-,-,-,-,,
เกษมสุวรรณ คอนโดมิเนียม,SL-40,คุณป้อม,091-072-3357,2.1,1,9,176,71 พัฒนาการ 20 แยก 2 แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ,-,-,-,คลองสาน,13.733913,100.609555,-,-,-,-,-,,
ธนาเพลส ลาดพร้าว 3 (ตึก 60 A-F),LPU-33,K.ปู (ผจ) ,"081 733 0177,02 9078455",4.1,6,9,216,64/6 ถ.นาคนิวาส ซ.ลาดพร้าว 71 แขวง/เขต ลาดพร้าว กรุงเทพฯ,-,-,-,สวนหลวง,13.82395,100.614834,-,-,-,-,-,,
บ้านบางขุนนนท์-ริมน้ำ,BKN-9,คุณศรัณ,086 5401223,3.1,2,9,200,119/1 ถนนบางขุนนนท์ แขวงบางขุนนนท์ เขตบางกอกน้อย กรุงเทพฯ,-,-,-,ลาดพร้าว,13.77721,100.458669,-,-,-,-,-,,
ลิฟวิ่งเนสท์ รามคำแหง     ,BKP-64,คุณแจ็ค : 096 9725076,นิติ : 099 6162125,2.1,3,8,546,845 ซอยรามคำแหง 85/1 – 2 ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ ,-,-,-,บางกอกน้อย,13.763574,100.640506,-,-,-,-,-,,
Le Monaco Residence,PYT-76,ผจก. จิตติมา อภัยวงศ์ ,"095 2258292, 02 2796306",1.2,1,30,67,35 ซอยพหลโยธิน 11 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพฯ,-,-,-,บางกะปิ,13.787534,100.543981,-,-,-,-,-,,
ไมล์สโตน คอนโดมิเนียม,KN-13,ผจ.ขวัญ,"090 9892460, 0927767564",2.1,2,8,242,168 ถนนเสรีไทย (สุขาภิบาล 2) แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพฯ,-,-,-,พญาไท,13.78692,100.67558,-,-,-,-,-,,
ลุมพินี วิลล์ อ่อนนุช-พัฒนาการ,PV-15,คุณกิ๊ก,02 3202311 ,2.1,7,262,1601,3 แขวงประเวศ เขตประเวศ กรุงเทพฯ,-,-,-,บึงกุ่ม,13.732107,100.57085,-,-,-,-,-,,
บางใหญ่ซิตี้ A4,BY-5,K. อุดม ,"089 4590326, 085 3253402",4.1,1,5,145,74 หมู่ที่ 6 ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี,-,-,-,ประเวศ,13.881861,100.403881,-,-,-,-,-,,
เอื้ออาทรคลองถนน 2,SYM-14,K.ปีเตอร์ & K.ภา (นิติ. 2),02 1016804,4.2,28,5,1260,2/44 อาคาร 2 แขวงคลองถนน เขตสายไหม กรุงเทพ 10220,-,-,-,บางใหญ่,13.8940991,100.630055,-,-,-,-,-,,
ดิ เอ็มโพริโอ เพลส,KT-21,ผจ.พินิจ,081 3729951,1.2,3,42,368,93 ถนนสุขุมวิท ซอยสุขุมวิท 25 ตำบลคลองตัน เขตคลองเตย กรุงเทพฯ,-,-,-,สายไหม,13.7233541,100.5666414,-,-,-,-,-,,
ธนาเพลส 1,LPU-33,ผจ.อรทัย (หน่อง),081 6348768,4.1,6,9,216,153/14 คอนโดธนาเพลส 45B ลาดพร้าว 71 ถ.สุคนธสวัสดิ์ กรุงเทพฯ,-,-,-,คลองเตย,13.8245629,100.6146552,-,-,-,-,-,,
เปรม แมนชั่น,KT-107,K.นุช,"086 3460476 , 02 2522521",1.2,1,14,27,121 สุขุมวิท 12 แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร,-,-,-,บางกะปิ,13.7343748,100.5582782,-,-,-,-,-,,
